PC,ADRES,PLAATS,OPP,KAMERS,VRGPRIJS,MAKELAAR
2492 SH,Mosselhof 12                                    ,Den Haag,151,6,532e3,Makelaarscentrum
2548 ZH,Wim Sonneveldplein 58                                    ,Den Haag,144,6,365e3,Olsthoorn NVM Makelaars
2524 CK,Guido Gezellestraat 5                                    ,Den Haag,122,6,245e3,Olsthoorn NVM Makelaars
2596 BW,Jan van Nassaustraat 92                                    ,Den Haag,290,10,1225e3,Frisia Makelaars
2498 CW,Melkeppe 44                                    ,Den Haag,142,6,398e3,Van Oosterom & Verhagen Makelaars
2548 CR,Laan van Wateringse Veld 938                                    ,Den Haag,143,5,425e3,Olsthoorn NVM Makelaars
2587 XK,Doorniksestraat 51                                    ,Den Haag,195,7,775e3,Joost van Vliet Makelaars o.g.
2498 AZ,Wollegras 62                                    ,Den Haag,128,5,392500,Van Oosterom & Verhagen Ypenburg B.V.
2497 VZ,Noortdijk 43                                    ,Den Haag,168,6,385e3,Van Oosterom & Verhagen Ypenburg B.V.
2548 SG,Lievensbergstraat 31                                    ,Den Haag,156,5,36e4,Olsthoorn NVM Makelaars
2566 SH,Tuinfluiterlaan 9                                    ,Den Haag,124,6,7e5,Anna's Makelaardij
2542 TE,Zwaardvegersgaarde 18                                    ,Den Haag,127,5,289e3,Borgdorff Makelaars Wateringen
2548 EA,Menno ter Braakstraat 74                                    ,Den Haag,176,6,47e4,Olsthoorn NVM Makelaars
2548 LX,Fivelingosingel 59                                    ,Den Haag,174,5,535e3,Olsthoorn NVM Makelaars
2498 BP,Zomereik 20                                    ,Den Haag,230,6,825e3,Steenks & Van Deelen Makelaars-Taxateurs
2548 NG,Gaasterlandlaan 11                                    ,Den Haag,140,7,385e3,Van Oosterom & Verhagen Makelaars
2564 AL,Laan van Meerdervoort 648                                    ,Den Haag,258,7,795e3,Koenders Makelaardij
2548 PA,Keukenhoflaan 52                                    ,Den Haag,173,5,589e3,Olsthoorn NVM Makelaars
2548 PD,Keukenhoflaan 107                                    ,Den Haag,148,7,449e3,Olsthoorn NVM Makelaars
2548 WZ,Waterbiesweg 66                                    ,Den Haag,191,6,625e3,Van Oosterom & Verhagen Makelaars
2545 WE,Grolloostraat 9                                    ,Den Haag,142,5,438e3,Korff de Gidts
2548 TV,Praagsingel 233                                    ,Den Haag,131,6,335e3,Elzenaar NVM Makelaars Wateringse Veld
2498 DV,Moerasvaren 72                                    ,Den Haag,244,8,749e3,Van Oosterom & Verhagen Ypenburg B.V.
2548 NH,Reiderlandlaan 32                                    ,Den Haag,137,6,387500,Van Oosterom & Verhagen Makelaars
2552 LB,Dr. L.J. Rogierstraat 62                                    ,Den Haag,83,3,25e4,Borgdorff Makelaars Den Haag
2566 DL,Laan van Poot 406                                    ,Den Haag,145,8,739e3,Korff de Gidts
2497 ND,Henricuskade 277                                    ,Den Haag,203,4,695e3,Elzenaar NVM Makelaars Wateringse Veld
2586 CE,Maaswijkstraat 60 62                                    ,Den Haag,129,6,45e4,RM Wonen NVM Makelaardij
2548 HE,Buenos Aireshof 29                                    ,Den Haag,130,4,35e4,Borgdorff Makelaars Wateringen
2553 EH,Oostmadeweg 19 - B                                    ,Den Haag,321,10,125e4,Janson Makelaardij BV
2548 JB,Miamihof 30                                    ,Den Haag,180,6,365e3,Olsthoorn NVM Makelaars
2492 WZ,Arenastraat 95                                    ,Den Haag,153,5,657e3,dx11makelaar
2514 EP,Hartogstraat 3                                    ,Den Haag,253,6,1195e3,Frisia Makelaars
2553 GX,Gravin Jacobalaan 20                                    ,Den Haag,260,9,119e4,DOEN NVM Makelaars
2548 WH,Vuurland 59                                    ,Den Haag,134,5,385e3,Olsthoorn NVM Makelaars
2548 WE,Langeland 8                                    ,Den Haag,178,6,5e5,Olsthoorn NVM Makelaars
2595 SN,3e Louise de Colignystraat 89                                    ,Den Haag,232,9,875e3,Langezaal
2544 NX,Abdis Badelogehof 9                                    ,Den Haag,182,7,847e3,Janson Makelaardij BV
2492 TW,Zeedadelhof 8                                    ,Den Haag,200,7,499500,mijneigenhuisverkopen.nl
2548 AA,De Rhijenhof 6 B                                    ,Den Haag,485,9,17e5,Meerdere makelaars betrokken
2517 RM,Voltastraat 8                                    ,Den Haag,100,4,4e5,Koenders Makelaardij
2565 TW,Asterstraat 72                                    ,Den Haag,68,4,195e3,Lex van Leeuwen NVM Makelaars
2561 AK,Columbusstraat 245                                    ,Den Haag,140,6,45e4,Frisia Makelaars
2566 NB,Sportlaan 884                                    ,Den Haag,73,3,315e3,Bliek Makelaars
2595 CK,Juliana van Stolberglaan 409                                    ,Den Haag,141,4,375e3,ARE  Makelaars
2512 BZ,Raamstraat 35                                    ,Den Haag,81,3,295e3,Borgdorff Makelaars Den Haag
2563 BA,Laan van Meerdervoort 336 I                                    ,Den Haag,112,5,325e3,Korff de Gidts
2563 RK,Indigostraat 58                                    ,Den Haag,83,4,185e3,Frisia Makelaars
2562 VK,Kepplerstraat 169                                    ,Den Haag,90,4,25e4,Borgdorff Makelaars Den Haag
2595 BT,Prins Willem-Alexanderweg 151                                    ,Den Haag,125,3,4e5,Nelisse Makelaarsgroep
2593 ZZ,Willem van Outhoornstraat 56                                    ,Den Haag,79,3,225e3,ARE  Makelaars
2512 XV,Zuidwal 98 A                                    ,Den Haag,147,4,485e3,Röttgering NVM Makelaars
2597 XA,Van Trigtstraat 60                                    ,Den Haag,93,4,269500,Röttgering NVM Makelaars
2496 LS,Glansvogellaan 9                                    ,Den Haag,81,3,225e3,Van Oosterom & Verhagen Ypenburg B.V.
2597 HM,Theo Mann-Bouwmeesterlaan 568                                    ,Den Haag,145,5,445e3,Röttgering NVM Makelaars
2564 SM,Ananasstraat 59                                    ,Den Haag,95,5,399500,Lex van Leeuwen NVM Makelaars
2565 GJ,Goudenregenplein 16                                    ,Den Haag,115,4,349e3,Koenders Makelaardij
2591 JG,Suzannaland 40                                    ,Den Haag,92,4,298e3,Bliek Makelaars
2548 GP,Havannasingel 6                                    ,Den Haag,115,3,275e3,Olsthoorn NVM Makelaars
2566 ZN,Spreeuwenlaan 12                                    ,Den Haag,113,4,619e3,Korff de Gidts
2571 BC,Loosduinseweg 1077 a                                    ,Den Haag,80,4,199500,Hooghlanden makelaars
2545 EE,Leyweg 390                                    ,Den Haag,65,4,189500,Hooghlanden makelaars
2572 HC,Kaapstraat 31                                    ,Den Haag,88,5,137500,Borgdorff Makelaars Den Haag
2594 AX,Bezuidenhoutseweg 80 q                                    ,Den Haag,123,3,475e3,Borgdorff Makelaars Den Haag
2583 CP,Dr. Lelykade 206 c                                    ,Den Haag,166,4,599e3,RM Wonen NVM Makelaardij
2582 LP,Prins Mauritslaan 73                                    ,Den Haag,155,4,85e4,Nelisse Makelaarsgroep
2513 CD,Prinsestraat 10                                    ,Den Haag,121,4,489e3,Borgdorff Makelaars Den Haag
2565 EB,Segbroeklaan 408 C                                    ,Den Haag,92,3,239500,Van Oosterom & Verhagen Makelaars
2563 TT,Gagelplein 18                                    ,Den Haag,100,4,2e5,Koenders Makelaardij
2583 LL,Houtrustweg 381                                    ,Den Haag,135,4,89e4,Nelisse Makelaarsgroep
2545 HK,Leyweg 1300 - F                                    ,Den Haag,159,5,425e3,Janson Makelaardij BV
2548 WG,Gotland 42                                    ,Den Haag,186,5,475e3,Olsthoorn NVM Makelaars
2555 JP,Tannhäuserstraat 20                                    ,Den Haag,104,4,319500,Borgdorff Makelaars Den Haag
2564 PS,Goudreinetstraat 241                                    ,Den Haag,84,4,275e3,Borgdorff Makelaars Den Haag
2594 AW,Bezuidenhoutseweg 72 D                                    ,Den Haag,123,3,469500,Röttgering NVM Makelaars
2517 RA,Galvanistraat 7 A                                    ,Den Haag,91,6,395e3,Koenders Makelaardij
2544 VX,Wezelrade 81 a                                    ,Den Haag,82,4,175e3,Elzenaar NVM Makelaars Wateringse Veld
2585 JV,Duinweg 91                                    ,Den Haag,203,4,1598e3,Frisia Makelaars
2497 CB,Plesmanlaan 92                                    ,Den Haag,134,5,329500,Van Oosterom & Verhagen Ypenburg B.V.
2566 VC,Kauwlaan 12                                    ,Den Haag,175,8,998e3,Joost van Vliet Makelaars o.g.
2564 SN,Ananasstraat 75                                    ,Den Haag,162,7,495e3,Lex van Leeuwen NVM Makelaars
2496 HT,Eksterhof 13                                    ,Den Haag,100,5,325e3,Van Oosterom & Verhagen Ypenburg B.V.
2545 WL,Wachtumstraat 36                                    ,Den Haag,97,4,299500,Hooghlanden makelaars
2581 AK,Van Boetzelaerlaan 50                                    ,Den Haag,212,8,85e4,RM Wonen NVM Makelaardij
2523 JC,Van Vlotenstraat 20                                    ,Den Haag,111,5,25e4,Elzenaar NVM Makelaars Wateringse Veld
2496 VC,Wingerd 62                                    ,Den Haag,150,6,8e5,Van Oosterom & Verhagen Ypenburg B.V.
2566 DW,Kwartellaan 6                                    ,Den Haag,179,7,85e4,Stokman Van Duren NVM makelaars-taxateurs
2546 SP,Maarsbergenstraat 165                                    ,Den Haag,184,6,45e4,Elzenaar NVM Makelaarskantoor
2584 AL,Doornstraat 11                                    ,Den Haag,250,10,875e3,Robert van der Zwan Makelaardij B.V.
2496 VW,Guirlande 1                                    ,Den Haag,194,6,895e3,Van Oosterom & Verhagen Ypenburg B.V.
2523 JH,Rodenbachstraat 35                                    ,Den Haag,103,5,225e3,Van Oosterom & Verhagen Ypenburg B.V.
2514 BJ,Hooikade 26 A                                    ,Den Haag,140,4,665e3,RM Wonen NVM Makelaardij
2548 ZT,Ko van Dijkplein 43                                    ,Den Haag,150,5,375e3,Olsthoorn NVM Makelaars
2498 BP,Zomereik 20                                    ,Den Haag,230,6,825e3,Van Oosterom & Verhagen Makelaars
2515 XS,Hillebrant Jacobsplein 46                                    ,Den Haag,166,6,525e3,Frisia Makelaars
2553 EV,Gravin Machteldlaan 7                                    ,Den Haag,370,10,2695e3,DOEN NVM Makelaars
2597 RD,De Bruynestraat 15                                    ,Den Haag,160,8,725e3,RM Wonen NVM Makelaardij
2548 AA,De Rhijenhof 6 a                                    ,Den Haag,220,6,85e4,Olsthoorn NVM Makelaars
2541 AA,Olststraat 21                                    ,Den Haag,182,6,38e4,Borgdorff Makelaars Wateringen
2586 HA,Seinpoststraat 12                                    ,Den Haag,200,7,849e3,Plink Garantiemakelaars
2566 WD,Sijzenlaan 41                                    ,Den Haag,198,7,1295e3,Frisia Makelaars
2548 WE,Langeland 1                                    ,Den Haag,175,6,45e4,Elzenaar NVM Makelaars Wateringse Veld
2595 SB,Van Imhoffstraat 21                                    ,Den Haag,222,8,795e3,Steenks & Van Deelen Makelaars-Taxateurs
2597 LL,Wagenaarweg 7                                    ,Den Haag,306,8,1995e3,Nelisse Makelaarsgroep
2585 AM,Javastraat 2 A                                    ,Den Haag,362,9,1495e3,Nelisse Makelaarsgroep
2596 JN,Oostduinlaan 16                                    ,Den Haag,278,12,1425e3,Paul F. de Haas & Co
2565 ST,Begoniastraat 206                                    ,Den Haag,105,5,25e4,Joost van Vliet Makelaars o.g.
2546 VX,Amerongenstraat 54                                    ,Den Haag,72,4,149500,Hooghlanden makelaars
2531 AB,Troelstrakade 79                                    ,Den Haag,73,4,137500,Hooghlanden makelaars
2496 SK,Oude Kustlijn 53                                    ,Den Haag,138,5,34e4,Nivita Makelaars
2593 ZC,Joan Maetsuyckerstraat 3 A                                    ,Den Haag,119,4,399e3,RM Wonen NVM Makelaardij
2551 KV,Julius Röntgenstraat 56                                    ,Den Haag,83,4,209e3,Borgdorff Makelaars Den Haag
2563 CP,Valkenboslaan 130                                    ,Den Haag,174,5,475e3,RM Wonen NVM Makelaardij
2512 EE,Prinsegracht 253                                    ,Den Haag,112,3,36e4,Steenks & Van Deelen Makelaars-Taxateurs
2555 CD,Laan van Meerdervoort 1238                                    ,Den Haag,85,3,25e4,Koenders Makelaardij
2593 ZL,Joan Maetsuyckerstraat 6                                    ,Den Haag,185,3,685e3,RE/MAX Extra
2544 VT,Wezelrade 19 d                                    ,Den Haag,82,4,189500,Elzenaar NVM Makelaars Wateringse Veld
2544 VB,Eekhoornrade 26                                    ,Den Haag,71,3,169e3,Elzenaar NVM Makelaars Wateringse Veld
2564 JN,Vlierboomstraat 542                                    ,Den Haag,86,4,329500,Lex van Leeuwen NVM Makelaars
2541 PZ,Koekangestraat 132                                    ,Den Haag,66,3,135e3,Borgdorff Makelaars Wateringen
2597 VZ,Van Trigtstraat 20                                    ,Den Haag,93,4,269500,Röttgering NVM Makelaars
2572 AC,Scheepersstraat 31 a                                    ,Den Haag,62,2,99900,Borgdorff Makelaars Den Haag
2513 TP,Oude Boomgaardstraat 41                                    ,Den Haag,70,3,225e3,Borgdorff Makelaars Den Haag
2541 GE,Melis Stokelaan 1980                                    ,Den Haag,86,3,197500,Borgdorff Makelaars Wateringen
