brandstof_omschrijving,brandstof_volgnummer,brandstofverbruik_buiten,brandstofverbruik_gecombineerd,brandstofverbruik_stad,co2_uitstoot_gecombineerd,emissiecode_omschrijving,geluidsniveau_stationair,kenteken,milieuklasse_eg_goedkeuring_licht,nettomaximumvermogen,toerental_geluidsniveau,co2_uitstoot_gewogen,geluidsniveau_rijdend,nominaal_continu_maximumvermogen,uitstoot_deeltjes_licht,roetuitstoot
Benzine,1,4.60,5.80,7.90,134,Euro 5,82,66NKS4,715/2007*692/2008A,88.00,3750,NA,NA,NA,NA,NA
Benzine,1,NA,NA,NA,37,Euro 6,76,JT992S,715/2007*136/2014W,110.00,3750,37.00000,73,NA,NA,NA
Elektriciteit,2,NA,NA,NA,NA,Euro 6,NA,JT992S,715/2007*136/2014W,NA,NA,NA,NA,55.00,NA,NA
Benzine,1,3.90,4.50,5.50,104,Euro 6,74,PN112D,715/2007*136/2014W,60.00,3750,NA,73,NA,NA,NA
Benzine,1,4.10,4.60,5.50,109,Euro 4,83,96TTSL,70/220*2003/76B,50.00,4500,NA,70,NA,NA,NA
Benzine,1,4.40,5.50,7.30,127,Euro 5,83,46KLT3,715/2007*692/2008A,44.00,3750,NA,NA,NA,NA,NA
Benzine,1,5.10,6.00,7.60,140,Euro 6,76,PV067H,715/2007*2015/45W,103.00,3750,NA,72,NA,NA,NA
Benzine,1,4.20,4.70,5.60,109,Euro 5,77,75TZP4,715/2007*692/2008F,50.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.40,5.30,6.90,124,Euro 6,72,5XTT93,715/2007*630/2012W,125.00,3750,NA,NA,NA,0.00022,NA
Diesel,1,4.50,5.10,6.10,135,Euro 5,69,47ZNX6,715/2007*566/2011F,130.00,2375,NA,NA,NA,0.00010,0.50
Diesel,1,4.30,4.80,5.60,125,Euro 6,68,RK853S,715/2007*136/2014W,110.00,2375,NA,72,NA,0.00011,0.50
Benzine,1,4.90,6.00,7.90,143,Euro 3,82,22RKTB,70/220*2002/80A,54.00,4050,NA,72,NA,NA,NA
Benzine,1,4.10,4.70,5.70,109,Euro 6,75,PV254B,715/2007*2016/646W,60.00,3750,NA,71,NA,NA,NA
Diesel,1,6.70,7.40,8.60,195,Euro 5,73,JZ821R,715/2007*630/2012J,180.00,2375,NA,72,NA,0.00081,0.50
Benzine,1,4.90,6.00,7.90,143,Euro 4,85,63TSRT,70/220*2003/76B,54.00,4050,NA,73,NA,NA,NA
Benzine,1,3.70,4.20,5.00,97,Euro 6,83,NN841D,715/2007*136/2014W,70.00,3750,NA,69,NA,0.00081,NA
Diesel,1,3.20,3.60,4.30,95,Euro 5,74,47TKR9,715/2007*692/2008A,68.00,3000,NA,NA,NA,0.00053,0.51
Diesel,1,3.10,3.30,3.70,85,Euro 5,74,6XZN63,715/2007*195/2013J,70.00,2850,NA,NA,NA,0.00050,0.62
Benzine,1,4.40,5.10,6.20,118,Euro 5,78,6KSJ93,715/2007*630/2012J,63.00,3600,NA,NA,NA,0.00170,NA
